Close,Tomorrow,Target
57.900001525878906,58.20000076293945,1
58.20000076293945,56.099998474121094,0
56.099998474121094,55.099998474121094,0
55.099998474121094,56.20000076293945,1
56.20000076293945,55.599998474121094,0
55.599998474121094,56.810001373291016,1
56.810001373291016,56.099998474121094,0
56.099998474121094,56.0,0
56.0,53.900001525878906,0
53.900001525878906,51.40999984741211,0
51.40999984741211,51.04999923706055,0
51.04999923706055,51.59000015258789,1
51.59000015258789,46.220001220703125,0
46.220001220703125,47.599998474121094,1
47.599998474121094,45.0,0
45.0,50.119998931884766,1
50.119998931884766,50.25,1
50.25,51.08000183105469,1
51.08000183105469,52.38999938964844,1
52.38999938964844,51.83000183105469,0
51.83000183105469,54.900001525878906,1
54.900001525878906,53.11000061035156,0
53.11000061035156,52.400001525878906,0
52.400001525878906,53.5,1
53.5,55.5,1
55.5,55.90999984741211,1
55.90999984741211,56.790000915527344,1
56.790000915527344,56.310001373291016,0
56.310001373291016,55.220001220703125,0
55.220001220703125,57.59000015258789,1
57.59000015258789,57.90999984741211,1
57.90999984741211,60.0,1
60.0,59.79999923706055,0
59.79999923706055,60.70000076293945,1
60.70000076293945,60.70000076293945,0
60.70000076293945,60.70000076293945,0
60.70000076293945,60.5099983215332,0
60.5099983215332,62.5,1
62.5,58.65999984741211,0
58.65999984741211,58.29999923706055,0
58.29999923706055,57.060001373291016,0
57.060001373291016,58.77000045776367,1
58.77000045776367,57.22999954223633,0
57.22999954223633,56.02000045776367,0
56.02000045776367,54.5,0
54.5,56.7400016784668,1
56.7400016784668,57.29999923706055,1
57.29999923706055,57.599998474121094,1
57.599998474121094,58.900001525878906,1
58.900001525878906,55.33000183105469,0
55.33000183105469,57.08000183105469,1
57.08000183105469,53.15999984741211,0
53.15999984741211,52.72999954223633,0
52.72999954223633,55.45000076293945,1
55.45000076293945,57.02000045776367,1
57.02000045776367,59.5099983215332,1
59.5099983215332,59.75,1
59.75,59.79999923706055,1
59.79999923706055,60.5,1
60.5,61.75,1
61.75,61.099998474121094,0
61.099998474121094,61.869998931884766,1
61.869998931884766,62.5099983215332,1
62.5099983215332,62.40999984741211,0
62.40999984741211,62.70000076293945,1
62.70000076293945,61.599998474121094,0
61.599998474121094,61.209999084472656,0
61.209999084472656,60.11000061035156,0
60.11000061035156,59.31999969482422,0
59.31999969482422,60.77000045776367,1
60.77000045776367,62.61000061035156,1
62.61000061035156,62.650001525878906,1
62.650001525878906,63.20000076293945,1
63.20000076293945,65.26000213623047,1
65.26000213623047,64.80000305175781,0
64.80000305175781,62.25,0
62.25,63.0,1
63.0,63.86000061035156,1
63.86000061035156,62.29999923706055,0
62.29999923706055,65.63999938964844,1
65.63999938964844,65.4000015258789,0
65.4000015258789,66.5999984741211,1
66.5999984741211,67.81999969482422,1
67.81999969482422,65.94999694824219,0
65.94999694824219,66.73999786376953,1
66.73999786376953,66.41000366210938,0
66.41000366210938,67.30999755859375,1
67.30999755859375,67.5,1
67.5,67.26000213623047,0
67.26000213623047,69.5999984741211,1
69.5999984741211,72.08999633789062,1
72.08999633789062,71.5,0
71.5,71.5,0
71.5,69.19999694824219,0
69.19999694824219,68.25,0
68.25,67.5,0
