Open,High,Low,Close,Volume,Dividends,Stock Splits
1.6163707971572876,1.6359981656455764,1.6163707971572876,1.6163707971572876,585600,0.0,0.0
1.6009762563472079,1.6044398767548553,1.5778852701187134,1.5778852701187134,782400,0.0,0.0
1.5586430568612366,1.5778852701187134,1.5586430568612366,1.5778852701187134,1876800,0.0,0.0
1.5778852701187134,1.6163705774857269,1.5778852701187134,1.5778852701187134,792000,0.0,0.0
1.597128326406452,1.6436950227393181,1.597128326406452,1.635613203048706,5347200,0.0,0.0
1.7318257700319513,1.770310640335083,1.7318257700319513,1.770310640335083,2980800,0.0,0.0
1.770311335483783,1.7818568891935322,1.7587657817740336,1.7741596698760986,326400,0.0,0.0
1.778007762894665,1.80879552729283,1.7741589895519692,1.7914772033691406,5068800,0.0,0.0
1.8511292934417725,1.8511292934417725,1.8511292934417725,1.8511292934417725,120000,0.0,0.0
1.8553633238319,1.8857663869857788,1.8553633238319,1.8857663869857788,3484800,0.0,0.0
1.8857659652542944,1.924250841140747,1.8857659652542944,1.924250841140747,230400,0.0,0.0
1.9050083379660283,1.9050083379660283,1.858826361694307,1.866523027420044,3724800,0.0,0.0
1.8665227056204048,1.870756300455078,1.847280494090951,1.8588260412216187,1872000,0.0,0.0
1.8472810983657837,1.8472810983657837,1.8472810983657837,1.8472810983657837,748800,0.0,0.0
1.8472812485847065,1.8472812485847065,1.8087959289550781,1.8087959289550781,144000,0.0,0.0
1.80879578186574,1.8665233161896708,1.80879578186574,1.8472810983657837,705600,0.0,0.0
1.8472810983657837,1.8472810983657837,1.8472810983657837,1.8472810983657837,0,0.0,0.0
1.831886649131775,1.831886649131775,1.831886649131775,1.831886649131775,196800,0.0,0.0
1.8665233161896708,1.8665233161896708,1.8472810983657837,1.8472810983657837,686400,0.0,0.0
1.8472810983657837,1.8472810983657837,1.8472810983657837,1.8472810983657837,211200,0.0,0.0
1.8472810983657837,1.8472810983657837,1.8472810983657837,1.8472810983657837,0,0.0,0.0
1.8087959289550781,1.8087959289550781,1.8087959289550781,1.8087959289550781,148800,0.0,0.0
1.8241901458972432,1.8241901458972432,1.7318260669708252,1.7318260669708252,739200,0.0,0.0
1.7125834083068792,1.7703109438725733,1.7125834083068792,1.7318260669708252,4382400,0.0,0.0
1.7318262978907457,1.797250509262085,1.7318262978907457,1.797250509262085,345600,0.0,0.0
1.8087961775731771,1.8857663869857788,1.8087961775731771,1.8857663869857788,81600,0.0,0.0
1.8857654984534566,1.9954478740692139,1.8857654984534566,1.9954478740692139,1036800,0.0,0.0
1.9665849315815649,2.016615146516174,1.9627364873886108,1.9627364873886108,6081600,0.0,0.0
1.9627361670136452,1.9627361670136452,1.8472810983657837,1.8472810983657837,3969600,0.0,0.0
1.8472807323514995,1.8472807323514995,1.7506831884384155,1.7506831884384155,43200,0.0,0.0
1.7510677846149711,1.7510677846149711,1.7279767990112305,1.7279767990112305,278400,0.0,0.0
1.7279769967246936,1.770310640335083,1.6548555889996195,1.770310640335083,158400,0.0,0.0
1.770310640335083,1.770310640335083,1.770310640335083,1.770310640335083,470400,0.0,0.0
1.7318260669708252,1.7318260669708252,1.7318260669708252,1.7318260669708252,9600,0.0,0.0
1.7318260669708252,1.7318260669708252,1.7318260669708252,1.7318260669708252,28800,0.0,0.0
1.7318260669708252,1.7318260669708252,1.7314409143077683,1.7318260669708252,52800,0.0,0.0
1.6933403015136719,1.6933403015136719,1.6933403015136719,1.6933403015136719,422400,0.0,0.0
1.7703109438725733,1.7703109438725733,1.6933407496429331,1.7318260669708252,792000,0.0,0.0
1.7318262020347854,1.7318262020347854,1.7125835418701172,1.7125835418701172,340800,0.0,0.0
1.6933403015136719,1.6933403015136719,1.6933403015136719,1.6933403015136719,38400,0.0,0.0
1.6740982645365927,1.6740982645365927,1.6548556089401245,1.6548556089401245,81600,0.0,0.0
1.651007275625877,1.651007275625877,1.5701887607574463,1.5701887607574463,465600,0.0,0.0
1.5701886050287377,1.5778852701187134,1.5582579042978661,1.5778852701187134,244800,0.0,0.0
1.5394005887467626,1.5394005887467626,1.538630723953247,1.538630723953247,624000,0.0,0.0
1.5394002511119267,1.5394002511119267,1.5197728872299194,1.5197728872299194,571200,0.0,0.0
1.5197728872299194,1.5197728872299194,1.5197728872299194,1.5197728872299194,0,0.0,0.0
1.5197728872299194,1.5197728872299194,1.5197728872299194,1.5197728872299194,0,0.0,0.0
1.5309343917999665,1.5309343917999665,1.5197735519904645,1.5282400846481323,158400,0.0,0.0
1.5009157481543272,1.5201579641286544,1.4970669746398926,1.4970669746398926,336000,0.0,0.0
1.500916280428491,1.500916280428491,1.4624309539794922,1.4624309539794922,211200,0.0,0.0
1.4624309539794922,1.4624309539794922,1.4624309539794922,1.4624309539794922,0,0.0,0.0
1.4470368471908444,1.4470368471908444,1.3854609727859497,1.3854609727859497,475200,0.0,0.0
1.3854609727859497,1.3854609727859497,1.3854609727859497,1.3854609727859497,216000,0.0,0.0
1.385461055028025,1.4085520505905151,1.385461055028025,1.4085520505905151,13742400,0.0,0.0
1.4239457051881546,1.4239457051881546,1.3966212272644043,1.3966212272644043,6254400,0.0,0.0
1.397006377632878,1.397006377632878,1.2700057578093313,1.3084906339645386,1041600,0.0,0.0
1.327733150785986,1.3492844104766846,1.327733150785986,1.3492844104766846,81600,0.0,0.0
1.3627538763170353,1.4085511250566058,1.3627538763170353,1.3739145994186401,2020800,0.0,0.0
1.3604454856227048,1.4124002481420244,1.358521043492084,1.404703140258789,681600,0.0,0.0
