Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-02:00,1.616371512413025,1.6359988895865658,1.616371512413025,1.616371512413025,585600,0.0,0.0
2000-01-04 00:00:00-02:00,1.6009762563472079,1.6044398767548553,1.5778852701187134,1.5778852701187134,782400,0.0,0.0
2000-01-05 00:00:00-02:00,1.5586430568612366,1.5778852701187134,1.5586430568612366,1.5778852701187134,1876800,0.0,0.0
2000-01-06 00:00:00-02:00,1.5778852701187134,1.6163705774857269,1.5778852701187134,1.5778852701187134,792000,0.0,0.0
2000-01-07 00:00:00-02:00,1.5971280935977015,1.6436947831426756,1.5971280935977015,1.635612964630127,5347200,0.0,0.0
2000-01-10 00:00:00-02:00,1.7318261198853302,1.7703109979629517,1.7318261198853302,1.7703109979629517,2980800,0.0,0.0
2000-01-11 00:00:00-02:00,1.770310740730221,1.7818562905611277,1.7587651908993145,1.7741590738296509,326400,0.0,0.0
2000-01-12 00:00:00-02:00,1.7780076445816648,1.8087954069311367,1.7741588714950762,1.791477084159851,5068800,0.0,0.0
2000-01-13 00:00:00-02:00,1.851129174232483,1.851129174232483,1.851129174232483,1.851129174232483,120000,0.0,0.0
2000-01-14 00:00:00-02:00,1.855362971969848,1.8857660293579102,1.855362971969848,1.8857660293579102,3484800,0.0,0.0
2000-01-17 00:00:00-02:00,1.8857657316040697,1.924250602722168,1.8857657316040697,1.924250602722168,230400,0.0,0.0
2000-01-18 00:00:00-02:00,1.9050079729643317,1.9050079729643317,1.8588260055411279,1.8665226697921753,3724800,0.0,0.0
2000-01-19 00:00:00-02:00,1.8665233041348455,1.8707569003270523,1.847281086435233,1.8588266372680664,1872000,0.0,0.0
2000-01-20 00:00:00-02:00,1.8472809791564941,1.8472809791564941,1.8472809791564941,1.8472809791564941,748800,0.0,0.0
2000-01-21 00:00:00-02:00,1.8472812485847065,1.8472812485847065,1.8087959289550781,1.8087959289550781,144000,0.0,0.0
2000-01-24 00:00:00-02:00,1.8087956651399963,1.8665231957386368,1.8087956651399963,1.8472809791564941,705600,0.0,0.0
2000-01-25 00:00:00-02:00,1.8472809791564941,1.8472809791564941,1.8472809791564941,1.8472809791564941,0,0.0,0.0
2000-01-26 00:00:00-02:00,1.8318867683410645,1.8318867683410645,1.8318867683410645,1.8318867683410645,196800,0.0,0.0
2000-01-27 00:00:00-02:00,1.8665231957386368,1.8665231957386368,1.8472809791564941,1.8472809791564941,686400,0.0,0.0
2000-01-28 00:00:00-02:00,1.8472809791564941,1.8472809791564941,1.8472809791564941,1.8472809791564941,211200,0.0,0.0
2000-01-31 00:00:00-02:00,1.8472809791564941,1.8472809791564941,1.8472809791564941,1.8472809791564941,0,0.0,0.0
2000-02-01 00:00:00-02:00,1.8087959289550781,1.8087959289550781,1.8087959289550781,1.8087959289550781,148800,0.0,0.0
2000-02-02 00:00:00-02:00,1.8241898947630033,1.8241898947630033,1.731825828552246,1.731825828552246,739200,0.0,0.0
2000-02-03 00:00:00-02:00,1.7125831725374154,1.7703107001558236,1.7125831725374154,1.731825828552246,4382400,0.0,0.0
2000-02-04 00:00:00-02:00,1.731826183020959,1.7972503900527954,1.731826183020959,1.7972503900527954,345600,0.0,0.0
2000-02-07 00:00:00-02:00,1.8087958345423933,1.8857660293579102,1.8087958345423933,1.8857660293579102,81600,0.0,0.0
2000-02-08 00:00:00-02:00,1.8857658364238465,1.9954482316970825,1.8857658364238465,1.9954482316970825,1036800,0.0,0.0
2000-02-09 00:00:00-02:00,1.9665843343664164,2.016614534107783,1.962735891342163,1.962735891342163,6081600,0.0,0.0
2000-02-10 00:00:00-02:00,1.962736040353775,1.962736040353775,1.8472809791564941,1.8472809791564941,3969600,0.0,0.0
2000-02-11 00:00:00-02:00,1.8472808581384066,1.8472808581384066,1.750683307647705,1.750683307647705,43200,0.0,0.0
2000-02-14 00:00:00-02:00,1.7510681470218274,1.7510681470218274,1.7279771566390991,1.7279771566390991,278400,0.0,0.0
2000-02-15 00:00:00-02:00,1.7279773458005656,1.7703109979629517,1.6548559233039295,1.7703109979629517,158400,0.0,0.0
2000-02-16 00:00:00-02:00,1.7703109979629517,1.7703109979629517,1.7703109979629517,1.7703109979629517,470400,0.0,0.0
2000-02-17 00:00:00-02:00,1.731825828552246,1.731825828552246,1.731825828552246,1.731825828552246,9600,0.0,0.0
2000-02-18 00:00:00-02:00,1.731825828552246,1.731825828552246,1.731825828552246,1.731825828552246,28800,0.0,0.0
2000-02-21 00:00:00-02:00,1.731825828552246,1.731825828552246,1.7314406759422125,1.731825828552246,52800,0.0,0.0
2000-02-22 00:00:00-02:00,1.6933408975601196,1.6933408975601196,1.6933408975601196,1.6933408975601196,422400,0.0,0.0
2000-02-23 00:00:00-02:00,1.7703107001558236,1.7703107001558236,1.6933405165225848,1.731825828552246,792000,0.0,0.0
2000-02-24 00:00:00-02:00,1.7318260814860553,1.7318260814860553,1.7125834226608276,1.7125834226608276,340800,0.0,0.0
2000-02-25 00:00:00-02:00,1.6933408975601196,1.6933408975601196,1.6933408975601196,1.6933408975601196,38400,0.0,0.0
